ECDS_UniqueID,Sort1,Sort2,Sort3,ECDS_Group1,ECDS_Group2,ECDS_Group3,ECDS_Description,ECDS_SearchTerms,SNOMED_Code,Flag_Injury,Flag_NotifiableDisease,Flag_Male,Flag_Female,Flag_Allergy,Flag_SDEC,Flag_ADS,Notes,ICD10_Mapping
UEC04DIA2131331000,21,31,33,Fracture / dislocation,Dislocation / subluxation,Hand,Dislocation : hand,dislocation hand,281503004,1,0,1,1,0,0,1,,S63.0
UEC04DIA2131411000,21,31,41,Fracture / dislocation,Dislocation / subluxation,Thumb,Dislocation : thumb,dislocation of thumb rolando bennett,125620005,1,0,1,1,0,0,1,,S63.1
UEC04DIA2131441000,21,31,44,Fracture / dislocation,Dislocation / subluxation,Finger,Dislocation : finger,dislocation of finger,125619004,1,0,1,1,0,0,1,,S63.1
UEC04DIA2131511000,21,31,51,Fracture / dislocation,Dislocation / subluxation,Hip (prosthetic joint),Dislocation : hip (prosthetic joint),dislocation hip prosthetic joint,314201008,1,0,1,1,0,1,1,,T84.0
UEC04DIA2131521000,21,31,52,Fracture / dislocation,Dislocation / subluxation,Hip (natural joint),Dislocation : hip (natural joint),dislocation hip natural joint,125621009,1,0,1,1,0,0,1,,S73.0
UEC04DIA2131551000,21,31,55,Fracture / dislocation,Dislocation / subluxation,Knee joint,Dislocation : knee joint,dislocation knee joint,58320001,1,0,1,1,0,0,1,,S83.1
UEC04DIA2131571000,21,31,57,Fracture / dislocation,Dislocation / subluxation,Patella,Dislocation : patella,dislocation patella knee cap kneecap,263029007,1,0,1,1,0,0,1,,S83.0
UEC04DIA2131611000,21,31,61,Fracture / dislocation,Dislocation / subluxation,Ankle joint,Dislocation : ankle joint,dislocation ankle joint,125622002,1,0,1,1,0,0,1,,S93.0
UEC04DIA2131661000,21,31,66,Fracture / dislocation,Dislocation / subluxation,Foot,Dislocation of joint of foot,Dislocation of joint of foot,836424002,1,0,1,1,0,0,0,Replacement code introduced October 2020,S93.3
UEC04DIA2131711000,21,31,71,Fracture / dislocation,Dislocation / subluxation,Toe,Dislocation : toe,dislocation toe metatarssal phalanges,263030002,1,0,1,1,0,0,1,,S93.1
UEC04DIA2511111000,25,11,11,Trauma / FB,Head injury,Head injury : no LOC,Head injury : no LOC,concussion syndrome concussive minor head injury concussion gcs LOC loss of consciousness traumatic brain injury,127302008,1,0,1,1,0,1,1,,S06.0
UEC04DIA2511131000,25,11,13,Trauma / FB,Head injury,Head injury : LOC less than 30s,Minor head injury : LOC less than 30s,concussion syndrome concussive minor head injury concussion gcs LOC loss of consciousness traumatic brain injury,127299008,1,0,1,1,0,1,1,,S06.0
UEC04DIA2511151000,25,11,15,Trauma / FB,Head injury,Head injury : LOC more than 30s,Minor head injury : LOC more than 30s,concussion syndrome concussive minor head injury concussion gcs LOC loss of consciousness traumatic brain injury,127300000,1,0,1,1,0,1,1,,S06.0
UEC04DIA2511181000,25,11,18,Trauma / FB,Head injury,Post concussion syndrome (more than 1 day post incident),Post concussion syndrome (more than 1 day post incident),concussion syndrome concussive minor head injury concussion gcs LOC loss of consciousness traumatic brain injury,40425004,1,0,1,1,0,0,1,,F07.2
UEC04DIA2511211000,25,11,21,Trauma / FB,Head injury,Subdural haematoma,Subdural haematoma,subdural hematoma sdh major head injury trauma haemorrhage bleed brain,262952002,1,0,1,1,0,0,0,,S06.9
UEC04DIA2511311000,25,11,31,Trauma / FB,Head injury,Extradural haematoma,Extradural haematoma,extradural haematoma epidural edh major head injury head injury trauma haemorrhage bleed brain,262949005,1,0,1,1,0,0,0,,S06.4
UEC04DIA2511411000,25,11,41,Trauma / FB,Head injury,Traumatic subarachnoid haemorrhage,Traumatic subarachnoid haemorrhage,traumatic subarachnoid haemorrhage sah major head injury bleed brain,262955000,1,0,1,1,0,0,0,,S06.6
UEC04DIA2511451000,25,11,45,Trauma / FB,Head injury,Traumatic intracerebral haemorrhage,Traumatic intracerebral haemorrhage,head injury trauma intracerebral haemorrhage bleed brain,450418003,1,0,1,1,0,0,0,,S06.3
UEC04DIA2511511000,25,11,51,Trauma / FB,Head injury,Diffuse axonal injury,Diffuse axonal injury,diffuse brain axonal injury major head trauma haemorrhage bleed brain head injury,262693007,1,0,1,1,0,0,0,,S06.2
UEC04DIA2511611000,25,11,61,Trauma / FB,Head injury,Contusion of brain,Contusion of brain,contusion of brain cerebral cerebellar cerebrum cerebellum bruising trauma haemorrhage bleed brain head injury,34663006,1,0,1,1,0,0,0,,S06.2
UEC04DIA2511811000,25,11,81,Trauma / FB,Head injury,Head injury : GCS less than 13,Moderate head injury (GCS less than 13),concussion syndrome concussive minor moderate severe head injury concussion gcs LOC loss of consciousness traumatic brain injury,314661000,1,0,1,1,0,0,1,,S06.9
UEC04DIA2511851000,25,11,85,Trauma / FB,Head injury,Severe head injury : GCS less than 9,Severe head injury : GCS less than 9,concussion syndrome concussive minor moderate severe head injury concussion gcs LOC loss of consciousness traumatic brain injury,314662007,1,0,1,1,0,0,1,,S06.9
UEC04DIA2521111000,25,21,11,Trauma / FB,Dental injury,Fracture of tooth (simple),Fracture of tooth (simple),simple tooth fracture,42744004,1,0,1,1,0,0,1,,S02.5
UEC04DIA2521211000,25,21,21,Trauma / FB,Dental injury,Fracture of tooth (complex),Fracture of tooth (complex),complicated tooth fracture,58411009,1,0,1,1,0,0,1,,S02.5
UEC04DIA2521311000,25,21,31,Trauma / FB,Dental injury,Loose tooth / teeth,Loose tooth / teeth,luxation of tooth loose teeth ligament,109678002,1,0,1,1,0,0,1,,S03.2
UEC04DIA2521411000,25,21,41,Trauma / FB,Dental injury,Tooth / teeth removed from socket,Tooth / teeth removed from socket,avulsion of tooth teeth removed out,109671008,1,0,1,1,0,0,1,,S03.2
UEC04DIA2531111000,25,31,11,Trauma / FB,Neck injury,Airway injury of neck,Airway injury of neck,neck injury airway injury,125588009,1,0,1,1,0,0,1,,S19.8
UEC04DIA2531211000,25,31,21,Trauma / FB,Neck injury,Vascular injury of neck,Vascular injury of neck,neck injury vascular injury,262937009,1,0,1,1,0,0,1,,S15.9
UEC04DIA2541111000,25,41,11,Trauma / FB,Thoracic injury,Traumatic pneumothorax,Traumatic pneumothorax,thoracic injury traumatic pneumothorax,90070003,1,0,1,1,0,0,1,,S27.0
UEC04DIA2541211000,25,41,21,Trauma / FB,Thoracic injury,Tension pneumothorax,Tension pneumothorax,tension pneumothorax,233645004,1,0,1,1,0,0,1,,J93.0
UEC04DIA2541221000,25,41,22,Trauma / FB,Thoracic injury,Flail chest,Flail chest,thoracic injury flail chest rib fracture,78011002,1,0,1,1,0,0,1,,S22.5
UEC04DIA2541231000,25,41,23,Trauma / FB,Thoracic injury,Open chest wound,Open chest wound,thoracic injury open chest wound stab,127315004,1,0,1,1,0,0,1,,S21.9
UEC04DIA2541311000,25,41,31,Trauma / FB,Thoracic injury,Haemopneumothorax,Haemopneumothorax,thoracic injury haemopneumothorax,42434002,1,0,1,1,0,0,1,,S27.2
UEC04DIA2541321000,25,41,32,Trauma / FB,Thoracic injury,Haemothorax,Haemothorax,thoracic injury massive haemothorax,42458003,1,0,1,1,0,0,1,,S27.1
UEC04DIA2541711000,25,41,71,Trauma / FB,Thoracic injury,Lung contusion,Lung contusion,lung contusion flail,262784001,1,0,1,1,0,0,1,,S27.3
UEC04DIA2541811000,25,41,81,Trauma / FB,Thoracic injury,Injury of heart,Injury of heart,injury heart cardiac tamponade,86175003,1,0,1,1,0,0,1,,S26.9
UEC04DIA2541821000,25,41,82,Trauma / FB,Thoracic injury,Injury of thoracic blood vessel,Injury of blood vessel,aorta dissection rupture tear superior vena cava svc innominate artery vein aortic carotid jugular axilliary,60190000,1,0,1,1,0,0,1,New code introduced July 2021,S25
UEC04DIA2541911000,25,41,91,Trauma / FB,Thoracic injury,Injury of diaphragm,Injury of diaphragm,injury diaphragm rupture,262787008,1,0,1,1,0,0,0,New code introduced July 2021,S27.8
UEC04DIA2551111000,25,51,11,Trauma / FB,Abdominal injury,Injury of bowel,Injury of bowel,bowel intestine perforation,125625000,1,0,1,1,0,0,1,,S36.4
UEC04DIA2551211000,25,51,21,Trauma / FB,Abdominal injury,Injury of spleen,Injury of spleen,spleen splenic,23589004,1,0,1,1,0,0,0,,S36.0
UEC04DIA2551221000,25,51,22,Trauma / FB,Abdominal injury,Injury of liver,Injury of liver,liver hepatic segment lobe,39400004,1,0,1,1,0,0,0,,S36.1
UEC04DIA2551311000,25,51,31,Trauma / FB,Abdominal injury,Injury of stomach,Injury of stomach,injury stomach,125626004,1,0,1,1,0,0,0,,S36.3
UEC04DIA2551351000,25,51,35,Trauma / FB,Abdominal injury,Injury of pancreas,Injury of pancreas,injury pancreas,61823004,1,0,1,1,0,0,0,,S36.2
UEC04DIA2551511000,25,51,51,Trauma / FB,Abdominal injury,Injury of kidney,Injury of kidney,kidney renal injury,40095003,1,0,1,1,0,0,0,,S37.0
UEC04DIA2551611000,25,51,61,Trauma / FB,Abdominal injury,Injury of bladder,Injury of bladder,injury bladder rupture,77165001,1,0,1,1,0,0,0,,S37.2
UEC04DIA2551651000,25,51,65,Trauma / FB,Abdominal injury,Injury of abdominal blood vessel,Injury of abdominal blood vessel,injury abdominal aorta inferior vena cava superior mesenteric epigastric artery vein,35191005,1,0,1,1,0,0,1,New code introduced July 2021,S35
UEC04DIA2551711000,25,51,71,Trauma / FB,Abdominal injury,Abdominal trauma in pregnancy,Abdominal trauma in pregnancy,abdominal trauma pregnancy gravid pregnant,426997005,1,0,1,1,0,0,1,,Z35.9
UEC04DIA2561111000,25,61,11,Trauma / FB,Amputation / partial amputation,Ear,Amputation / partial amputation : ear,amputation ear,210305005,1,0,1,1,0,0,1,,S08.1
UEC04DIA2561131000,25,61,13,Trauma / FB,Amputation / partial amputation,Nose,Amputation / partial amputation : nose,amputation nose,722704008,1,0,1,1,0,0,1,,S08.8
UEC04DIA2561151000,25,61,15,Trauma / FB,Amputation / partial amputation,Tongue,Amputation / partial amputation : tongue,amputation tongue,813131000000104,1,0,1,1,0,0,1,,S08.8
UEC04DIA2561311000,25,61,31,Trauma / FB,Amputation / partial amputation,Shoulder,Amputation / partial amputation : shoulder,amputation shoulder forequarter limb,210649003,1,0,1,1,0,0,1,,S48.0
UEC04DIA2561331000,25,61,33,Trauma / FB,Amputation / partial amputation,Upper arm,Amputation / partial amputation : upper arm,amputation upper arm limb,210650003,1,0,1,1,0,0,1,,S48.1
UEC04DIA2561351000,25,61,35,Trauma / FB,Amputation / partial amputation,Forearm,Amputation / partial amputation : forearm,amputation forearm limb,210642007,1,0,1,1,0,0,1,,S58.1
UEC04DIA2561371000,25,61,37,Trauma / FB,Amputation / partial amputation,Hand,Amputation / partial amputation : hand,amputation hand limb,95856002,1,0,1,1,0,0,1,,S68.9
UEC04DIA2561391000,25,61,39,Trauma / FB,Amputation / partial amputation,Thumb,Amputation / partial amputation : thumb,amputation thumb limb,210611002,1,0,1,1,0,0,1,,S68.0
UEC04DIA2561411000,25,61,41,Trauma / FB,Amputation / partial amputation,Finger,Amputation / partial amputation : finger,amputation digits finger ring middle index,95855003,1,0,1,1,0,0,1,,S68.1
UEC04DIA2561451000,25,61,45,Trauma / FB,Amputation / partial amputation,Nail (fingernail / toenail),Nail avulsion,nail finger toe thumb avulsion toenail fingernail,1097401000000107,1,0,1,1,0,0,1,,S60.9
UEC04DIA2561511000,25,61,51,Trauma / FB,Amputation / partial amputation,Genital,Amputation / partial amputation : genital,amputation genital,211548006,1,0,1,1,0,0,1,,S38.2
UEC04DIA2561611000,25,61,61,Trauma / FB,Amputation / partial amputation,Hip,Amputation / partial amputation : hip,amputation lower limb extremity hindquarter,210762009,1,0,1,1,0,0,1,,S78.0
UEC04DIA2561631000,25,61,63,Trauma / FB,Amputation / partial amputation,Femur,Amputation / partial amputation : femur,amputation femur limb,824061000000104,1,0,1,1,0,0,1,,S78.1
UEC04DIA2561651000,25,61,65,Trauma / FB,Amputation / partial amputation,Tibia / fibula,Amputation / partial amputation : tibia/ fibula,amputation partial amputation tibia fibula limb,812431000000103,1,0,1,1,0,0,1,,S88.1
UEC04DIA2561671000,25,61,67,Trauma / FB,Amputation / partial amputation,Foot,Amputation / partial amputation : foot,amputation foot,95859009,1,0,1,1,0,0,1,,S98.4
UEC04DIA2561691000,25,61,69,Trauma / FB,Amputation / partial amputation,Toe,Amputation / partial amputation : toe,amputation partial amputation toe,95858001,1,0,1,1,0,0,1,,S98.1
UEC04DIA2571111000,25,71,11,Trauma / FB,Foreign body,Under skin,Foreign body : under skin,fb under in skin,93458008,1,0,1,1,0,0,1,,M79.5
UEC04DIA2571121000,25,71,12,Trauma / FB,Foreign body,In wound,Foreign body : in wound,open wound fb,213282006,1,0,1,1,0,0,1,,W45
UEC04DIA2571131000,25,71,13,Trauma / FB,Foreign body,Ear canal,Foreign body : ear canal,foreign body ear fb,75441006,1,0,1,1,0,0,1,,T16
UEC04DIA2571151000,25,71,15,Trauma / FB,Foreign body,Nose,Foreign body : nose,nose foreign body nasal fb,74699008,1,0,1,1,0,0,1,,T17.1
UEC04DIA2571211000,25,71,21,Trauma / FB,Foreign body,Respiratory tract,Foreign body : respiratory tract,respiratory foreign body inhaled lung bronchus trachea fb,262599003,1,0,1,1,0,0,1,,T17.9
UEC04DIA2571311000,25,71,31,Trauma / FB,Foreign body,Alimentary tract,Foreign body : alimentary tract,foreign body digestive tract swallowed gi tract fb alimentary,33334006,1,0,1,1,0,0,1,,T18.9
UEC04DIA2571411000,25,71,41,Trauma / FB,Foreign body,Vulva / vagina,Foreign body : vulva / vagina,foreign body female genitalia vagina vulva fb,34124000,1,0,0,1,0,0,1,,T19.2
UEC04DIA2571421000,25,71,42,Trauma / FB,Foreign body,Penis,Foreign body : penis,foreign body male genitalia penis fb,73830004,1,0,1,0,0,0,1,,T19.9
UEC04DIA2571511000,25,71,51,Trauma / FB,Foreign body,Rectum,Foreign body : rectum,foreign body rectum fb,70176004,1,0,1,1,0,0,1,,T18.5
UEC04DIA2571711000,25,71,71,Trauma / FB,Foreign body,Ring too tight on digit / extremity,Ring too tight on digit / extremity,ring tight on finger thumb toe digit penis,248406004,1,0,1,1,0,0,1,,S69.9
UEC04DIA2581111000,25,81,11,Trauma / FB,Complication of injury,Injury of blood vessel,Vascular injury,complication injury vascular vessel artery vein,57662003,1,0,1,1,0,0,1,,T14.5
UEC04DIA2581411000,25,81,41,Trauma / FB,Complication of injury,Injury of nerve,Injury to peripheral nerve,complication injury neurological nerve neurapraxia axonotmesis neurotmesis,73590005,1,0,1,1,0,0,1,Code introduced as replacement for previous code as part of Terminology and Clinical Lead review.,T14.4
UEC04DIA2581421000,25,81,42,Trauma / FB,Complication of injury,Spinal cord injury,Spinal cord injury,spinal cord injury cervical thoracic lumbar paralysis,90584004,1,0,1,1,0,0,1,,T09.3
UEC04DIA2581611000,25,81,61,Trauma / FB,Complication of injury,Rhabdomyolysis,Rhabdomyolysis,rhabdomyolysis muscle,240131006,0,0,1,1,0,0,1,,M62.8
UEC04DIA2581711000,25,81,71,Trauma / FB,Complication of injury,Compartment syndrome,Compartment syndrome,complication injury rhabdomyolysis compartment syndrome plaster pop leg pain calf,111245009,1,0,1,1,0,0,1,,T79.6
UEC04DIA2581731000,25,81,73,Trauma / FB,Complication of injury,Fat embolism,Fat embolism,complication injury fat embolism,212372004,1,0,1,1,0,0,1,New code introduced July 2021,T79.1
UEC04DIA2581811000,25,81,81,Trauma / FB,Complication of injury,Phantom pain,Phantom pain,complication injury phantom pain limb amputation,710110008,1,0,1,1,0,0,1,New code introduced July 2021,G54.6
UEC04DIA3111111000,31,11,11,Cardiovascular,Cardiac : ischaemic,Acute coronary syndrome (ACS),Acute coronary syndrome (ACS),angina chest pain heart attack ami myocardial infarction costochondritis ACS acute coronary syndrome,394659003,0,0,1,1,0,1,1,,I24.9
UEC04DIA3111121000,31,11,12,Cardiovascular,Cardiac : ischaemic,Myocardial infarction (STEMI),Myocardial infarction (STEMI),angina chest pain heart attack ami myocardial infarction costochondritis ACS acute coronary syndrome,401303003,0,0,1,1,0,0,1,,I21.9
UEC04DIA3111131000,31,11,13,Cardiovascular,Cardiac : ischaemic,Myocardial infarction (NSTEMI),Myocardial infarction (NSTEMI),angina chest pain heart attack ami myocardial infarction costochondritis ACS acute coronary syndrome,401314000,0,0,1,1,0,0,1,,I21.9
UEC04DIA3111181000,31,11,18,Cardiovascular,Cardiac : ischaemic,Angina (unstable),Angina (unstable),angina chest pain heart attack ami myocardial infarction costochondritis ACS acute coronary syndrome,4557003,0,0,1,1,0,0,1,,I20.0
UEC04DIA3111191000,31,11,19,Cardiovascular,Cardiac : ischaemic,Angina (stable),Angina (stable),angina chest pain heart attack ami myocardial infarction costochondritis ACS acute coronary syndrome,233819005,0,0,1,1,0,1,1,,I20.9
UEC04DIA3113111000,31,13,11,Cardiovascular,Cardiac : conduction,Atrial fibrillation / flutter,Atrial fibrillation / flutter,af fibrillation flutter,49436004,0,0,1,1,0,1,1,,I48
UEC04DIA3113151000,31,13,15,Cardiovascular,Cardiac : conduction,Supraventricular tachycardia,Supraventricular tachycardia,svt supraventricular tachycardia,6456007,0,0,1,1,0,1,1,,I47.1
UEC04DIA3113191000,31,13,19,Cardiovascular,Cardiac : conduction,Multifocal atrial tachycardia,Multifocal atrial tachycardia,multifocal atrial tachycardia atrial fibrillation flutter,49982000,0,0,1,1,0,0,1,,I47.1
UEC04DIA3113311000,31,13,31,Cardiovascular,Cardiac : conduction,Ventricular tachycardia,Ventricular tachycardia,ventricular tachycardia,25569003,0,0,1,1,0,0,1,,I47.2
UEC04DIA3113391000,31,13,39,Cardiovascular,Cardiac : conduction,Ventricular extrasystole,Ventricular extrasystole,ectopic extrasystole premature,29717002,0,0,1,1,0,0,1,,I49.4
UEC04DIA3113511000,31,13,51,Cardiovascular,Cardiac : conduction,Heart block : first degree,Heart block : first degree,heart block - first degree trifasicular atrioventricular,270492004,0,0,1,1,0,0,1,,I44.0
UEC04DIA3113531000,31,13,53,Cardiovascular,Cardiac : conduction,Heart block : second degree : Mobitz type I,Heart block : second degree : Mobitz type I,heart block - second degree mobitz type i 1 atrioventricular wenkebach,54016002,0,0,1,1,0,0,1,,I44.1
UEC04DIA3113541000,31,13,54,Cardiovascular,Cardiac : conduction,Heart block : second degree : Mobitz type II,Heart block : second degree : Mobitz type II,heart block - second degree mobitz type ii 2 atrioventricular,28189009,0,0,1,1,0,0,1,,I44.1
UEC04DIA3113551000,31,13,55,Cardiovascular,Cardiac : conduction,Heart block : third degree (complete),Heart block : third degree (complete),heart block - third degree complete intraventricular,27885002,0,0,1,1,0,0,1,,I44.2
UEC04DIA3113571000,31,13,57,Cardiovascular,Cardiac : conduction,Right bundle branch block,Right bundle branch block,right bundle branch block fasicle,59118001,0,0,1,1,0,0,1,,I45.1
UEC04DIA3113581000,31,13,58,Cardiovascular,Cardiac : conduction,Left bundle branch block,Left bundle branch block,left bundle branch block fasicle,63467002,0,0,1,1,0,0,1,,I44.7
UEC04DIA3113611000,31,13,61,Cardiovascular,Cardiac : conduction,Bifascicular block,Bifascicular block,bifasicular block rbbb lad right bundle fasicle branch block left axis deviation bifascicular,74021003,0,0,1,1,0,0,1,,I45.2
UEC04DIA3113621000,31,13,62,Cardiovascular,Cardiac : conduction,Trifascicular block,Trifascicular block,trifasicular block rbbb lad right bundle branch block fasicle left axis deviation trifascicular,86014007,0,0,1,1,0,0,1,,I45.3
UEC04DIA3113651000,31,13,65,Cardiovascular,Cardiac : conduction,Conduction disorder / heart block,Conduction disorder / heart block,heart conduction disorder block,418341009,0,0,1,1,0,1,1,,I45.9
UEC04DIA3113671000,31,13,67,Cardiovascular,Cardiac : conduction,Sinus node dysfunction,Sinus node dysfunction,sinus node dysfunction sick brady tachy syndrome af,36083008,0,0,1,1,0,1,1,,I49.5
UEC04DIA3113691000,31,13,69,Cardiovascular,Cardiac : conduction,Bradycardia,Bradycardia,bradycardia slow,48867003,0,0,1,1,0,0,1,,R00.1
UEC04DIA3113711000,31,13,71,Cardiovascular,Cardiac : conduction,Pre-excitation (WPW / LGL),Pre-excitation (WPW / LGL),wolff parkinson white lown ganong levine pre-excitation kent accessory,195060002,0,0,1,1,0,0,1,,I45.6
UEC04DIA3113731000,31,13,73,Cardiovascular,Cardiac : conduction,Brugada syndrome,Brugada syndrome,brugada syndrome mitochodria channelopathy,418818005,0,0,1,1,0,0,1,,I49.8
UEC04DIA3113751000,31,13,75,Cardiovascular,Cardiac : conduction,Long QT syndrome,Long QT syndrome,long qt syndrome qtc,9651007,0,0,1,1,0,0,1,,I49.8
UEC04DIA3113791000,31,13,79,Cardiovascular,Cardiac : conduction,Arrhythmia : other,Arrhythmia : other,arrhythmia rhythm cardiac heart,44808001,0,0,1,1,0,0,1,,I49.9
UEC04DIA3113811000,31,13,81,Cardiovascular,Cardiac : conduction,Mechanical complication of cardiac electronic device,Mechanical complication of cardiac electronic device,complication electronic pacemaker implantable device cardiac icd ppm event recorder,271966006,1,0,1,1,0,0,1,,T82.1
UEC04DIA3113831000,31,13,83,Cardiovascular,Cardiac : conduction,Discharge of implantable cardiac defibrillator,Discharge of implantable cardiac defibrillator,discharge implantable cardiac defibrillator icd,431415002,0,0,1,1,0,0,1,,T85.9
UEC04DIA3113911000,31,13,91,Cardiovascular,Cardiac : conduction,Cardiac arrest,Cardiac arrest,cardiac arrest heart,410429000,0,0,1,1,0,0,1,,I46.9
UEC04DIA3117111000,31,17,11,Cardiovascular,Cardiac : structural,Heart valve disorder,Heart valve disorder,aortic rheumatic pulmonary tricuspid mitral,368009,0,0,1,1,0,0,1,,I07.9
UEC04DIA3117211000,31,17,21,Cardiovascular,Cardiac : structural,Pericarditis,Pericarditis,pericarditis pericardial effusion,3238004,0,0,1,1,0,0,1,,I31.9
UEC04DIA3117251000,31,17,25,Cardiovascular,Cardiac : structural,Pericardial effusion,Pericardial effusion,pericardial effusion pericarditis myocarditis,373945007,0,0,1,1,0,0,1,,I31.9
UEC04DIA3117311000,31,17,31,Cardiovascular,Cardiac : structural,Cardiomyopathy,Cardiomyopathy,cardiomyopathy myocarditis,85898001,0,0,1,1,0,0,1,,I42.9
UEC04DIA3117511000,31,17,51,Cardiovascular,Cardiac : structural,Endocarditis,Endocarditis,endocarditis myocarditis pericarditis,56819008,0,0,1,1,0,0,1,,I38
UEC04DIA3117711000,31,17,71,Cardiovascular,Cardiac : structural,Myocarditis,Myocarditis,myocarditis endocarditis pericarditis,50920009,0,0,1,1,0,0,1,,I40.9
UEC04DIA3117911000,31,17,91,Cardiovascular,Cardiac : structural,Heart transplant related,Heart transplant related,myocarditis endocarditis pericarditis,429257001,0,0,1,1,0,0,1,New code introduced July 2021,T86.3
UEC04DIA3119111000,31,19,11,Cardiovascular,Cardiovasc : function,Postural hypotension,Postural hypotension,postural hypotension faint vasovagal syncope,28651003,0,0,1,1,0,1,1,,I95.1
UEC04DIA3119151000,31,19,15,Cardiovascular,Cardiovasc : function,Vasovagal syncope,Vasovagal syncope,collapse vasovagal faint syncope postural hypotension,398665005,0,0,1,1,0,1,1,SNOMED changed from (disorder) to (finding) – dated 31072021 – SNOMED international release applied to TRUD May 2022,R55
UEC04DIA3119171000,31,19,17,Cardiovascular,Cardiovasc : function,Micturition syncope,Micturition syncope,collapse vasovagal faint syncope,234168001,0,0,1,1,0,1,1,SNOMED changed from (disorder) to (finding) – dated 31072021 – SNOMED international release applied to TRUD May 2022,R55
UEC04DIA3119211000,31,19,21,Cardiovascular,Cardiovasc : function,Left ventricular failure,Left ventricular failure,left ventricular failure lvf cardiac heart attack myocardial infarction,85232009,0,0,1,1,0,1,1,,I50.1
UEC04DIA3119221000,31,19,22,Cardiovascular,Cardiovasc : function,Acute pulmonary oedema,Acute pulmonary oedema,pulmonary oedema edema angina chest pain heart attack ami myocardial infarction costochondritis,40541001,0,0,1,1,0,0,1,,J81
UEC04DIA3119251000,31,19,25,Cardiovascular,Cardiovasc : function,Right ventricular failure,Right heart failure Right ventricular failure,ccf heart failure cardiac failure angina chest pain heart attack ami myocardial infarction right ventricular failure,367363000,0,0,1,1,0,1,1,New code introduced July 2021,I50.0
UEC04DIA3119271000,31,19,27,Cardiovascular,Cardiovasc : function,Congestive cardiac failure,Congestive cardiac failure,ccf heart failure cardiac failure angina chest pain heart attack ami myocardial infarction,42343007,0,0,1,1,0,1,1,,I50.0
UEC04DIA3119291000,31,19,29,Cardiovascular,Cardiovasc : function,Heart failure,Heart failure,ccf heart failure cardiac failure angina chest pain heart attack ami myocardial infarction,84114007,0,0,1,1,0,1,1,New code introduced July 2021,I50.0
UEC04DIA3119411000,31,19,41,Cardiovascular,Cardiovasc : function,Hypertension,Hypertension,hypertension high blood pressure,38341003,0,0,1,1,0,0,1,,I10
UEC04DIA3119451000,31,19,45,Cardiovascular,Cardiovasc : function,Malignant hypertension,Malignant hypertension,malignant hypertension crisis accelerated blood pressure BP,70272006,0,0,1,1,0,0,1,,I10
UEC04DIA3119471000,31,19,47,Cardiovascular,Cardiovasc : function,Pulmonary hypertension,Pulmonary hypertension,pulmonary hypertension,70995007,0,0,1,1,0,0,1,,I27.0
UEC04DIA3119851000,31,19,85,Cardiovascular,Cardiovasc : function,Cardiogenic shock,Cardiogenic shock,cardiogenic shock chest pain ami myocardial infarction heart attack,89138009,0,0,1,1,0,0,1,,R57.0
UEC04DIA3119951000,31,19,95,Cardiovascular,Cardiovasc : function,Postural orthostatic tachycardia syndrome,Postural orthostatic tachycardia syndrome,Postural orthostatic tachycardia syndrome,371073003,0,0,1,1,0,0,1,,I95.1
UEC04DIA3121111000,31,21,11,Cardiovascular,Vascular : structure,Abdominal aneurysm without rupture,Abdominal aneurysm without rupture,abdominal aneurysm abdominal pain,233985008,0,0,1,1,0,0,0,,I71.4
UEC04DIA3121151000,31,21,15,Cardiovascular,Vascular : structure,Abdominal aneurysm with rupture,Abdominal aneurysm with rupture,abdominal aneurysm with leak abdominal pain,195268001,0,0,1,1,0,0,1,,I71.4
UEC04DIA3121211000,31,21,21,Cardiovascular,Vascular : structure,Aortic dissection,Aortic dissection,aorta aortic dissection abdominal chest pain,308546005,0,0,1,1,0,0,1,,I71.0
UEC04DIA3121251000,31,21,25,Cardiovascular,Vascular : structure,Carotid artery dissection,Carotid artery dissection,stroke carotid artery dissection neck injury,720626009,0,0,1,1,0,0,1,New code introduced July 2021,I72.0
UEC04DIA3121261000,31,21,26,Cardiovascular,Vascular : structure,Vertebral artery dissection,Vertebral artery dissection,stroke vertebral artery dissection neck injury,230730001,0,0,1,1,0,0,1,New code introduced July 2021,I72.6
UEC04DIA3121281000,31,21,28,Cardiovascular,Vascular : structure,Radial artery dissection,Radial artery dissection,radial artery wrist dissection pci angioplasty,307322002,1,0,1,1,0,0,1,New code introduced July 2021,I72.1
UEC04DIA3121291000,31,21,29,Cardiovascular,Vascular : structure,Femoral artery dissection,Femoral artery dissection,femoral artery dissection groin pci angioplasty,234000009,1,0,1,1,0,0,1,New code introduced July 2021,I72.4
UEC04DIA3121351000,31,21,35,Cardiovascular,Vascular : structure,Thoracic aneurysm without rupture,Thoracic aneurysm without rupture,thoracic aneurysm abdominal pain chest,433068007,0,0,1,1,0,0,0,,I71.2
UEC04DIA3121371000,31,21,37,Cardiovascular,Vascular : structure,Thoracic aneurysm with leak,Thoracic aneurysm with leak,thoracic aneurysm with leak abdominal pain chest,824031000000109,0,0,1,1,0,0,1,,I71.2
UEC04DIA3121451000,31,21,45,Cardiovascular,Vascular : structure,Varicose veins,Varicose veins,varicose veins phlebitis venous dvt,72866009,0,0,1,1,0,0,1,,I83.9
